sol,0.5,0.5,0.47,0.56,0.45,0.5,0.5,0.49,0.44,0.45,0.51,0.5,0.44,0.57,0.49,0.51,0.44,0.51,0.54,0.59
kyk,0.5,0.5,0.46,0.53,0.43,0.46,0.47,0.46,0.44,0.44,0.52,0.46,0.41,0.54,0.53,0.5,0.43,0.53,0.51,0.62
may,0.53,0.54,0.5,0.56,0.51,0.51,0.49,0.54,0.51,0.49,0.47,0.55,0.48,0.59,0.55,0.48,0.45,0.54,0.49,0.63
mll,0.44,0.47,0.44,0.5,0.47,0.46,0.43,0.45,0.43,0.47,0.42,0.48,0.47,0.52,0.45,0.43,0.44,0.44,0.51,0.5
zat,0.55,0.57,0.49,0.53,0.5,0.59,0.52,0.55,0.51,0.48,0.52,0.49,0.45,0.52,0.53,0.5,0.5,0.56,0.53,0.59
pot,0.5,0.54,0.49,0.54,0.41,0.5,0.53,0.49,0.4,0.43,0.58,0.54,0.48,0.56,0.51,0.53,0.51,0.53,0.55,0.61
chp,0.5,0.53,0.51,0.57,0.48,0.47,0.5,0.47,0.53,0.43,0.47,0.48,0.51,0.52,0.52,0.41,0.43,0.49,0.53,0.55
fau,0.51,0.54,0.46,0.55,0.45,0.51,0.53,0.5,0.5,0.46,0.5,0.51,0.46,0.51,0.54,0.49,0.52,0.56,0.5,0.57
axl,0.56,0.56,0.49,0.57,0.49,0.6,0.47,0.5,0.5,0.44,0.53,0.55,0.43,0.5,0.54,0.54,0.5,0.53,0.64,0.63
ven,0.55,0.56,0.51,0.53,0.52,0.57,0.57,0.54,0.56,0.5,0.52,0.51,0.49,0.56,0.56,0.53,0.49,0.58,0.55,0.6
sly,0.49,0.48,0.53,0.58,0.48,0.42,0.53,0.5,0.47,0.48,0.5,0.51,0.46,0.55,0.55,0.49,0.45,0.55,0.49,0.64
ino,0.5,0.54,0.45,0.52,0.51,0.46,0.52,0.49,0.45,0.49,0.49,0.5,0.44,0.5,0.55,0.45,0.48,0.52,0.59,0.58
bed,0.56,0.59,0.52,0.53,0.55,0.52,0.49,0.54,0.57,0.51,0.54,0.56,0.5,0.56,0.59,0.51,0.52,0.57,0.52,0.6
ram,0.43,0.46,0.41,0.48,0.48,0.44,0.48,0.49,0.5,0.44,0.45,0.5,0.44,0.5,0.49,0.45,0.47,0.49,0.47,0.54
sin,0.51,0.47,0.45,0.55,0.47,0.49,0.48,0.46,0.46,0.44,0.45,0.45,0.41,0.51,0.5,0.51,0.48,0.56,0.55,0.61
elp,0.49,0.5,0.52,0.57,0.5,0.47,0.59,0.51,0.46,0.47,0.51,0.55,0.49,0.55,0.49,0.5,0.46,0.54,0.51,0.62
leo,0.56,0.57,0.55,0.56,0.5,0.49,0.57,0.48,0.5,0.51,0.55,0.52,0.48,0.53,0.52,0.54,0.5,0.54,0.55,0.68
jho,0.49,0.47,0.46,0.56,0.44,0.47,0.51,0.44,0.47,0.42,0.45,0.48,0.43,0.51,0.44,0.46,0.46,0.5,0.48,0.63
jko,0.46,0.49,0.51,0.49,0.47,0.45,0.47,0.5,0.36,0.45,0.51,0.41,0.48,0.53,0.45,0.49,0.45,0.52,0.5,0.61
jam,0.41,0.38,0.37,0.5,0.41,0.39,0.45,0.43,0.37,0.4,0.36,0.42,0.4,0.46,0.39,0.38,0.32,0.37,0.39,0.5