DICTATOR,0.500,0.498,0.525,0.507,0.48,0.481,0.541,0.54,0.533,0.496,0.554,0.549,0.497,0.543,0.511,0.539,0.547,0.469,0.513,0.563,0.551,0.614,0.551,0.568,0.616,0.531,0.555,0.579,0.602,0.574,0.571,0.555,0.57,0.579,0.592
Urien,0.502,0.500,0.541,0.557,0.557,0.509,0.501,0.469,0.543,0.557,0.502,0.535,0.555,0.534,0.54,0.585,0.53,0.536,0.547,0.545,0.553,0.545,0.548,0.544,0.543,0.549,0.545,0.579,0.55,0.55,0.544,0.557,0.573,0.562,0.579
Dhalsim,0.475,0.459,0.500,0.535,0.449,0.437,0.458,0.517,0.475,0.501,0.564,0.525,0.677,0.522,0.462,0.515,0.489,0.469,0.524,0.573,0.514,0.599,0.468,0.544,0.626,0.47,0.545,0.531,0.498,0.588,0.581,0.575,0.563,0.523,0.554
Birdie,0.493,0.443,0.465,0.500,0.516,0.533,0.522,0.487,0.498,0.475,0.506,0.539,0.565,0.507,0.536,0.523,0.557,0.504,0.501,0.534,0.514,0.514,0.534,0.525,0.537,0.498,0.523,0.559,0.518,0.552,0.534,0.531,0.527,0.54,0.583
Blanka,0.521,0.443,0.551,0.484,0.500,0.512,0.475,0.522,0.49,0.462,0.486,0.537,0.509,0.511,0.518,0.506,0.51,0.488,0.522,0.526,0.547,0.534,0.527,0.536,0.545,0.533,0.526,0.556,0.595,0.545,0.558,0.534,0.533,0.551,0.559
CLAW,0.519,0.491,0.563,0.467,0.488,0.500,0.489,0.543,0.536,0.563,0.497,0.524,0.518,0.499,0.475,0.511,0.544,0.452,0.513,0.481,0.535,0.53,0.514,0.54,0.587,0.528,0.523,0.556,0.57,0.54,0.538,0.514,0.539,0.544,0.562
BOXER,0.46,0.499,0.542,0.478,0.525,0.511,0.500,0.478,0.477,0.49,0.529,0.531,0.429,0.499,0.516,0.549,0.534,0.478,0.497,0.522,0.527,0.589,0.533,0.542,0.558,0.541,0.539,0.548,0.587,0.55,0.527,0.536,0.56,0.546,0.555
Jam,0.46,0.531,0.483,0.513,0.478,0.457,0.522,0.500,0.513,0.521,0.514,0.535,0.49,0.489,0.503,0.518,0.532,0.492,0.516,0.514,0.52,0.506,0.484,0.522,0.575,0.52,0.512,0.522,0.495,0.533,0.524,0.555,0.537,0.509,0.537
Alex,0.468,0.457,0.525,0.502,0.51,0.464,0.523,0.488,0.500,0.493,0.536,0.511,0.513,0.468,0.503,0.534,0.511,0.485,0.517,0.499,0.519,0.507,0.52,0.508,0.547,0.485,0.511,0.543,0.589,0.532,0.531,0.518,0.505,0.534,0.555
Abigail,0.504,0.443,0.499,0.525,0.538,0.437,0.51,0.479,0.507,0.500,0.498,0.522,0.571,0.42,0.519,0.556,0.515,0.493,0.544,0.497,0.533,0.477,0.505,0.513,0.548,0.49,0.494,0.544,0.579,0.526,0.512,0.535,0.471,0.564,0.555
Guile,0.446,0.498,0.437,0.494,0.514,0.503,0.471,0.486,0.464,0.502,0.500,0.468,0.489,0.525,0.496,0.516,0.509,0.496,0.515,0.522,0.482,0.525,0.48,0.523,0.57,0.547,0.554,0.498,0.513,0.542,0.533,0.516,0.547,0.53,0.529
Karin,0.451,0.465,0.475,0.461,0.463,0.476,0.469,0.465,0.489,0.478,0.532,0.500,0.487,0.501,0.504,0.488,0.495,0.506,0.525,0.518,0.51,0.506,0.511,0.522,0.528,0.526,0.537,0.52,0.513,0.535,0.532,0.517,0.543,0.528,0.552
Zangief,0.503,0.445,0.323,0.435,0.491,0.482,0.571,0.51,0.487,0.429,0.511,0.513,0.500,0.485,0.521,0.456,0.507,0.547,0.549,0.508,0.531,0.409,0.507,0.464,0.454,0.528,0.519,0.529,0.437,0.525,0.551,0.544,0.515,0.547,0.572
Edd,0.457,0.466,0.478,0.493,0.489,0.501,0.501,0.511,0.532,0.58,0.475,0.499,0.515,0.500,0.523,0.527,0.503,0.526,0.522,0.51,0.527,0.517,0.498,0.518,0.506,0.546,0.502,0.538,0.577,0.492,0.512,0.534,0.528,0.547,0.54
Kolin,0.489,0.46,0.538,0.464,0.482,0.525,0.484,0.497,0.497,0.481,0.504,0.496,0.479,0.477,0.500,0.499,0.511,0.487,0.52,0.509,0.491,0.53,0.538,0.518,0.504,0.502,0.516,0.526,0.558,0.519,0.513,0.514,0.522,0.553,0.542
G,0.461,0.415,0.485,0.477,0.494,0.489,0.451,0.482,0.466,0.444,0.484,0.512,0.544,0.473,0.501,0.500,0.507,0.49,0.486,0.509,0.498,0.523,0.535,0.497,0.494,0.507,0.522,0.54,0.523,0.544,0.522,0.504,0.514,0.557,0.541
Zeku,0.453,0.47,0.511,0.443,0.49,0.456,0.466,0.468,0.489,0.485,0.491,0.505,0.493,0.497,0.489,0.493,0.500,0.489,0.481,0.498,0.505,0.509,0.501,0.51,0.508,0.519,0.521,0.504,0.526,0.527,0.539,0.505,0.541,0.547,0.547
Laura,0.531,0.464,0.531,0.496,0.512,0.549,0.522,0.508,0.515,0.507,0.505,0.494,0.453,0.474,0.513,0.51,0.511,0.500,0.529,0.52,0.486,0.459,0.509,0.545,0.493,0.537,0.482,0.51,0.55,0.495,0.496,0.528,0.484,0.507,0.514
R.Mika,0.487,0.453,0.476,0.499,0.478,0.487,0.503,0.484,0.484,0.456,0.485,0.475,0.451,0.478,0.48,0.514,0.519,0.471,0.500,0.487,0.494,0.521,0.509,0.528,0.486,0.508,0.509,0.533,0.548,0.5,0.535,0.542,0.531,0.514,0.512
Cody,0.437,0.455,0.427,0.466,0.474,0.519,0.478,0.486,0.501,0.503,0.478,0.482,0.492,0.49,0.492,0.491,0.502,0.48,0.513,0.500,0.515,0.508,0.517,0.515,0.489,0.516,0.516,0.536,0.518,0.505,0.511,0.51,0.531,0.542,0.544
Ibuki,0.449,0.447,0.486,0.486,0.453,0.465,0.473,0.48,0.481,0.467,0.518,0.49,0.469,0.473,0.509,0.502,0.496,0.514,0.506,0.485,0.500,0.488,0.506,0.519,0.524,0.501,0.508,0.501,0.534,0.519,0.508,0.523,0.53,0.52,0.536
Falke,0.386,0.456,0.401,0.486,0.466,0.47,0.411,0.494,0.493,0.523,0.475,0.494,0.591,0.483,0.47,0.477,0.491,0.541,0.479,0.492,0.512,0.500,0.516,0.472,0.526,0.513,0.514,0.507,0.473,0.518,0.505,0.545,0.514,0.545,0.524
Necalli,0.449,0.452,0.532,0.466,0.473,0.486,0.467,0.516,0.48,0.495,0.52,0.489,0.493,0.502,0.462,0.465,0.499,0.491,0.491,0.483,0.494,0.484,0.500,0.523,0.518,0.505,0.499,0.487,0.528,0.51,0.515,0.524,0.518,0.511,0.511
Nash,0.432,0.456,0.456,0.475,0.464,0.46,0.458,0.478,0.492,0.487,0.477,0.478,0.536,0.482,0.482,0.503,0.49,0.455,0.472,0.485,0.481,0.528,0.477,0.500,0.538,0.485,0.518,0.499,0.549,0.521,0.512,0.51,0.516,0.496,0.514
Sagat,0.384,0.457,0.374,0.463,0.456,0.413,0.442,0.425,0.453,0.452,0.43,0.472,0.546,0.494,0.496,0.506,0.492,0.507,0.514,0.511,0.476,0.474,0.482,0.462,0.500,0.494,0.534,0.538,0.473,0.523,0.507,0.507,0.52,0.54,0.517
Rashid,0.469,0.451,0.53,0.502,0.467,0.472,0.459,0.48,0.515,0.51,0.453,0.474,0.472,0.454,0.498,0.493,0.481,0.463,0.492,0.484,0.499,0.487,0.495,0.515,0.506,0.500,0.472,0.496,0.554,0.486,0.497,0.527,0.494,0.485,0.499
Ken,0.445,0.455,0.455,0.477,0.474,0.477,0.461,0.488,0.489,0.506,0.446,0.463,0.481,0.498,0.484,0.478,0.479,0.518,0.491,0.484,0.492,0.486,0.501,0.482,0.466,0.528,0.500,0.512,0.499,0.486,0.496,0.516,0.505,0.505,0.506
Juri,0.421,0.421,0.469,0.441,0.444,0.444,0.452,0.478,0.457,0.456,0.502,0.48,0.471,0.462,0.474,0.46,0.496,0.49,0.467,0.464,0.499,0.493,0.513,0.501,0.462,0.504,0.488,0.500,0.525,0.502,0.499,0.519,0.509,0.525,0.518
Menat,0.398,0.45,0.502,0.482,0.405,0.43,0.413,0.505,0.411,0.421,0.487,0.487,0.563,0.423,0.442,0.477,0.474,0.45,0.452,0.482,0.466,0.527,0.472,0.451,0.527,0.446,0.501,0.475,0.500,0.528,0.506,0.555,0.492,0.511,0.521
Ryu,0.426,0.45,0.412,0.448,0.455,0.46,0.45,0.467,0.468,0.474,0.458,0.465,0.476,0.508,0.481,0.456,0.473,0.505,0.5,0.495,0.481,0.482,0.49,0.479,0.477,0.514,0.514,0.498,0.472,0.500,0.496,0.501,0.521,0.504,0.524
Akuma,0.429,0.456,0.42,0.466,0.442,0.462,0.473,0.476,0.469,0.488,0.467,0.468,0.449,0.488,0.487,0.478,0.461,0.504,0.465,0.489,0.492,0.496,0.485,0.488,0.493,0.503,0.504,0.501,0.494,0.504,0.500,0.509,0.515,0.493,0.506
ChunLi,0.445,0.443,0.425,0.469,0.466,0.486,0.464,0.445,0.482,0.465,0.484,0.483,0.456,0.466,0.486,0.496,0.495,0.472,0.458,0.49,0.477,0.455,0.476,0.49,0.493,0.473,0.484,0.481,0.445,0.499,0.491,0.500,0.497,0.491,0.504
Sakura,0.43,0.427,0.437,0.473,0.467,0.461,0.44,0.463,0.495,0.529,0.453,0.457,0.485,0.472,0.478,0.486,0.459,0.516,0.469,0.469,0.47,0.486,0.482,0.484,0.48,0.506,0.495,0.491,0.508,0.479,0.485,0.503,0.500,0.502,0.497
Cammy,0.421,0.438,0.477,0.46,0.449,0.456,0.454,0.491,0.466,0.436,0.47,0.472,0.453,0.453,0.447,0.444,0.453,0.493,0.486,0.458,0.48,0.455,0.489,0.504,0.46,0.515,0.495,0.475,0.489,0.496,0.507,0.509,0.498,0.500,0.5
Kage,0.409,0.421,0.446,0.417,0.441,0.438,0.445,0.463,0.445,0.445,0.471,0.448,0.428,0.46,0.458,0.459,0.453,0.486,0.488,0.456,0.464,0.476,0.489,0.486,0.483,0.501,0.494,0.482,0.479,0.476,0.494,0.496,0.503,0.5,0.500